§6§lEpic Network §7| §eSurvival §a
§b§lCraftHeaven §7| §fSkyblock §8| §aOnline 24/7
§c§lPixelForge §7| §6SMP §7- §fNew Season!
§a§lMineVerse §7| §eUltra Factions §c[PVP]
§d§lDreamCraft §7| §bCreative Plots §f| §6Events
§e§lSunRise SMP §7| §7Vanilla+ §8| §aNo Grief
§6§lGoldRush §7| §ePrison §8- §fRankup Fast
§b§lAquaRealms §7| §fOcean Survival §3| §7Dive In
§c§lNetherGate §7| §6Hardcore §c| §fOne Life
§a§lGreenField §7| §2Towny §7| §eBuild & Trade
§d§lEnderPeak §7| §5Skywars §f| §6Play Now
§e§lCraftyLands §7| §aSurvival §8| §bMcMMO
§6§lIronHold §7| §fKingdoms §6| §cWar Season 3
§b§lFrostByte §7| §fWinter SMP §b| §7Chill & Mine
§c§lLavaLounge §7| §6OP Prison §f| §eFree Rank
§a§lForestHaven §7| §2Roleplay §7| §fNew Lore
§d§lStarMine §7| §bGalaxy Factions §d| §fJoin Us
§e§lDesertRose §7| §6Wild West RP §e| §7Howdy!
§6§lThunderCraft §7| §eMinigames §8| §aBedWars Live
§b§lCloudNine §7| §fSkyblock §a| §6Void Titan
§c§lRedstoneHub §7| §7Tech SMP §c| §fCreate Mod
§a§lMossyCraft §7| §2Caves & Cliffs §a| §fExplore
§d§lTwilightZone §7| §5Horror Survival §8| §cNight Falls
§e§lHoneyComb §7| §6Bee SMP §e| §7Sweet Survival
§6§lDragonNest §7| §5End Realm §d| §fSlay the Dragon
§b§lTidePool §7| §3Island Survival §b| §fSail Away
§c§lEmberFall §7| §6Volcano SMP §c| §7Burn Bright
§a§lPineWood §7| §2Lumberjack Life §a| §fCozy SMP
§d§lCrystalBay §7| §bOcean Plots §d| §fBuild Paradise
§e§lGoldenHour §7| §6Sunset SMP §e| §7Relax & Mine
§6§lForgeFire §7| §cAnvil PVP §6| §fFight Club
§b§lSkyHarbor §7| §fAirship Wars §b| §7Take Flight
§c§lBloodMoon §7| §4Hard Mode §c| §7Survive the Night
§a§lCloverField §7| §aLucky Survival §2| §fNo Pay2Win
§d§lMysticGrove §7| §5Magic SMP §d| §fSpells & Potions
